Song:
	samples=10577664
	channels=2
	BPM=127.5258
	points=20660
Idx                 Time                Start Sample        End Sample          delta               rawBPM              BPM                 
6100                70.82086            6246400             6247423             0.2438126           246.0907            123.0453            
6160                71.51746            6307840             6308863             0.6966019           86.13242            172.2648            
6238                72.42304            6387712             6388735             0.9055786           66.25598            132.512             
6259                72.66685            6409216             6410239             0.2438049           246.0984            123.0492            
6320                73.37505            6471680             6472703             0.7082062           84.72109            169.4422            
6401                74.31547            6554624             6555647             0.9404144           63.80166            127.6033            
6421                74.54766            6575104             6576127             0.232193            258.4057            129.2029            
6481                75.24426            6636544             6637567             0.6966019           86.13242            172.2648            
6502                75.48808            6658048             6659071             0.2438126           246.0907            123.0453            
6563                76.19628            6720512             6721535             0.7082062           84.72109            169.4422            
6642                77.11347            6801408             6802431             0.9171906           65.41716            130.8343            
6661                77.33406            6820864             6821887             0.2205887           271.9995            135.9997            
6681                77.56626            6841344             6842367             0.2322006           258.3972            129.1986            
6688                77.64753            6848512             6849535             0.08126831          738.2952            92.2869             
6693                77.70558            6853632             6854655             0.05805206          1033.555            129.1944            
6723                78.05388            6884352             6885375             0.3482971           172.2667            86.13335            
6730                78.13515            6891520             6892543             0.08126831          738.2952            92.2869             
6744                78.29768            6905856             6906879             0.1625366           369.1476            92.2869             
6761                78.49506            6923264             6924287             0.1973724           303.9938            151.9969            
6805                79.0059             6968320             6969343             0.5108414           117.4533            117.4533            
6810                79.06394            6973440             6974463             0.05804443          1033.691            129.2113            
6861                79.65605            7025664             7026687             0.5921097           101.3326            101.3326            
6870                79.76054            7034880             7035903             0.1044922           574.2056            143.5514            
6885                79.93469            7050240             7051263             0.1741486           344.5334            86.13335            
6904                80.15528            7069696             7070719             0.2205887           271.9995            135.9997            
6949                80.67773            7115776             7116799             0.5224533           114.8428            114.8428            
6964                80.85188            7131136             7132159             0.1741486           344.5334            86.13335            
6981                81.04926            7148544             7149567             0.1973724           303.9938            151.9969            
6988                81.13052            7155712             7156735             0.08126831          738.2952            92.2869             
7045                81.79229            7214080             7215103             0.6617661           90.66648            181.333             
7049                81.83873            7218176             7219199             0.04644012          1291.986            80.74914            
7067                82.04771            7236608             7237631             0.2089767           287.1133            143.5566            
7127                82.74431            7298048             7299071             0.6966019           86.13242            172.2648            
7130                82.77914            7301120             7302143             0.03482819          1722.743            107.6714            
7149                82.99973            7320576             7321599             0.2205887           271.9995            135.9997            
7167                83.20871            7339008             7340031             0.2089844           287.1028            143.5514            
7184                83.40607            7356416             7357439             0.1973648           304.0056            152.0028            
7211                83.71954            7384064             7385087             0.3134689           191.4065            95.70326            
7229                83.92853            7402496             7403519             0.2089844           287.1028            143.5514            
7254                84.21877            7428096             7429119             0.2902451           206.7219            103.3609            
7256                84.242              7430144             7431167             0.02322388          2583.548            80.73587            
7290                84.63673            7464960             7465983             0.3947372           151.9998            151.9998            
7309                84.85732            7484416             7485439             0.2205887           271.9995            135.9997            
7338                85.19402            7514112             7515135             0.3366928           178.204             89.10199            
7371                85.57714            7547904             7548927             0.3831253           156.6067            156.6067            
7391                85.80934            7568384             7569407             0.2322006           258.3972            129.1986            
7422                86.16925            7600128             7601151             0.3599091           166.7088            83.35439            
7451                86.50594            7629824             7630847             0.3366928           178.204             89.10199            
7472                86.74975            7651328             7652351             0.2438049           246.0984            123.0492            
7505                87.13288            7685120             7686143             0.3831329           156.6036            156.6036            
7507                87.1561             7687168             7688191             0.02321625          2584.397            80.76241            
7532                87.44635            7712768             7713791             0.2902527           206.7164            103.3582            
7552                87.67855            7733248             7734271             0.2322006           258.3972            129.1986            
7594                88.16617            7776256             7777279             0.4876175           123.0473            123.0473            
7615                88.40998            7797760             7798783             0.2438126           246.0907            123.0453            
7632                88.60735            7815168             7816191             0.1973648           304.0056            152.0028            
7651                88.82793            7834624             7835647             0.2205887           271.9995            135.9997            
7662                88.95564            7845888             7846911             0.1277084           469.8202            117.455             
7693                89.31555            7877632             7878655             0.3599091           166.7088            83.35439            
7714                89.55936            7899136             7900159             0.2438126           246.0907            123.0453            
7732                89.76834            7917568             7918591             0.2089767           287.1133            143.5566            
7775                90.26757            7961600             7962623             0.4992294           120.1852            120.1852            
7792                90.46494            7979008             7980031             0.1973724           303.9938            151.9969            
7813                90.70876            8000512             8001535             0.2438126           246.0907            123.0453            
7834                90.95256            8022016             8023039             0.2438049           246.0984            123.0492            
7836                90.97578            8024064             8025087             0.02322388          2583.548            80.73587            
7853                91.17315            8041472             8042495             0.1973648           304.0056            152.0028            
7874                91.41696            8062976             8063999             0.2438126           246.0907            123.0453            
7893                91.63755            8082432             8083455             0.2205887           271.9995            135.9997            
7899                91.70721            8088576             8089599             0.069664            861.277             107.6596            
7902                91.74204            8091648             8092671             0.03482819          1722.743            107.6714            
7935                92.12517            8125440             8126463             0.3831253           156.6067            156.6067            
7956                92.36898            8146944             8147967             0.2438126           246.0907            123.0453            
8016                93.06557            8208384             8209407             0.6965942           86.13335            172.2667            
8036                93.29778            8228864             8229887             0.2322006           258.3972            129.1986            
8097                94.00599            8291328             8292351             0.7082138           84.72018            169.4404            
8104                94.08726            8298496             8299519             0.08126831          738.2952            92.2869             
8118                94.24979            8312832             8313855             0.1625366           369.1476            92.2869             
8142                94.52843            8337408             8338431             0.2786407           215.331             107.6655            
